trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.6, 'e': 0.25748460676394874}",20,6,15.240091637096869,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.6, 'e': 0.2549097606963093}",20,0,-59.323188514313145,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
138,False,"{'a': 0.6, 'e': 0.2523606630893462}",35,6,-22.96964689790697,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 0}",1
139,False,"{'a': 0.6, 'e': 0.2498370564584527}",25,0,-70.10252668879924,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
140,False,"{'a': 0.6, 'e': 0.24733868589386818}",25,9,-14.165578027423676,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.6, 'e': 0.24486529903492948}",20,0,-127.60251036980085,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
142,False,"{'a': 0.6, 'e': 0.2424166460445802}",30,3,8.97445903497482,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 0}",1
143,False,"{'a': 0.6, 'e': 0.2399924795841344}",20,8,1.7350853851937273,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.6, 'e': 0.23759255478829303}",20,10,-79.58704376686121,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 2}",1
145,False,"{'a': 0.6, 'e': 0.23521662924041012}",25,17,5.154844412160469,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.6, 'e': 0.232864462948006}",20,7,7.168403917430779,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.6, 'e': 0.23053581831852593}",20,11,20.854985344250963,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.6, 'e': 0.22823046013534068}",25,13,-32.820923682053774,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.6, 'e': 0.22594815553398728}",30,6,-99.8169227057729,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 3}",1
150,False,"{'a': 0.6, 'e': 0.2236886739786474}",25,12,-33.8472150470295,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
151,False,"{'a': 0.6, 'e': 0.22145178723886091}",20,3,-91.27538035583481,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 2}",1
152,False,"{'a': 0.6, 'e': 0.2192372693664723}",30,3,-90.82772809413099,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 2}",1
153,False,"{'a': 0.6, 'e': 0.21704489667280757}",30,17,-28.07797520332179,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
154,False,"{'a': 0.6, 'e': 0.2148744477060795}",20,0,-76.1832786238825,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
155,False,"{'a': 0.6, 'e': 0.2127257032290187}",25,0,-44.19352057065069,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
156,False,"{'a': 0.6, 'e': 0.21059844619672852}",20,9,17.82409575322928,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.6, 'e': 0.20849246173476124}",25,0,-125.22341781240488,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
158,False,"{'a': 0.6, 'e': 0.2064075371174136}",20,8,-8.052375244422041,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
159,False,"{'a': 0.6, 'e': 0.20434346174623946}",30,15,21.42887777894089,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.6, 'e': 0.2023000271287771}",20,0,-6.719551028139902,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
